"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"beta;-mercaptoethanol","chemical-affects","P0A8G3",NA,"13628636;13794771;15358357;4594308","null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","chemical-affects","P0A955",NA,"11094340;4936448","null"
"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol","chemical-affects","P24215",NA,"22796868;3038546;4581499;6759855","null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P0A6L7",NA,"14401695;4351434;4402917;4564054;6296052;6755169","null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P0A8G3",NA,"13628636;13794771;15358357;4594308","null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P24215",NA,"22796868;3038546;4581499;6759855","null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P39160",NA,"14401695;15358357;195622;4351435;4402996","null"
"2-keto-3-deoxy-D-gluconic acid","used-to-produce","KDGP",NA,NA,"null"
"2-keto-3-deoxy-D-gluconic acid","consumption-controlled-by","P37647",NA,"13813474;4944816","null"
"2-keto-3-deoxy-D-gluconic acid","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"2-keto-3-deoxy-D-gluconic acid","used-to-produce","adenosine-5-diphosphate",NA,NA,"null"
"2-keto-3-deoxy-D-gluconic acid","used-to-produce","hydrogen ion",NA,NA,"null"
"6-p gluconate","chemical-affects","P0A955",NA,"11094340;4936448","null"
"aldehydo-D-galacturonate","consumption-controlled-by","P0A8G3",NA,"13628636;13794771;4594308","null"
"aldehydo-D-galacturonate","used-to-produce","tagaturonate",NA,NA,"null"
"aldehydo-D-glucuronate","used-to-produce","D-fructuronate",NA,NA,"null"
"aldehydo-D-glucuronate","consumption-controlled-by","P0A8G3",NA,"13794771;15358357;4594308","null"
"o-phenanthroline","chemical-affects","P0A8G3",NA,"13628636;13794771;15358357;4594308","null"
"o-phenanthroline","chemical-affects","P24215",NA,"22796868;3038546;4581499;6759855","null"
"Ca++","chemical-affects","P39160",NA,"14401695;15358357;195622;4351435;4402996","null"
"Cu++","chemical-affects","P0A8G3",NA,"13628636;13794771;15358357;4594308","null"
"D-Mannonamide","chemical-affects","P24215",NA,"22796868;3038546;4581499;6759855","null"
"D-altronate","used-to-produce","2-keto-3-deoxy-D-gluconic acid",NA,NA,"null"
"D-altronate","reacts-with","DPN-ox",NA,NA,"null"
"D-altronate","used-to-produce","H2O",NA,NA,"null"
"D-altronate","chemical-affects","P24215",NA,"22796868;3038546;4581499;6759855","null"
"D-altronate","consumption-controlled-by","P42604",NA,"13831814;3038546;6450743;6759855","null"
"D-altronate","used-to-produce","hydrogen ion",NA,NA,"null"
"D-altronate","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"D-altronate","used-to-produce","tagaturonate",NA,NA,"null"
"D-arabinonate","chemical-affects","P42604",NA,"13831814;3038546;6450743;6759855","null"
